344     , -425.255    , array([ 0.936799   ,  0.849315   ])
346     , -48.0255    , array([ 2.53982    ,  0.899031   ])
348     , -48.0244    , array([ 2.53982    ,  0.89993    ])
[2.53982189 0.8990307 ]
350     , -427.747    , array([ 0.936799   ,  0.770472   ])
352     , -48.4151    , array([ 2.54087    ,  0.809286   ])
354     , -48.409     , array([ 2.54087    ,  0.810095   ])
[2.54086565 0.80928551]
356     , -435.705    , array([ 0.936799   ,  0.506166   ])
358     , -57.4511    , array([ 2.54351    ,  0.51557    ])
360     , -57.4099    , array([ 2.54351    ,  0.516086   ])
[2.54350708 0.51556992]
362     , -422.327    , array([ 0.936799   ,  0.946678   ])
364     , -48.3565    , array([ 2.53841    ,  1.01119    ])
366     , -48.3638    , array([ 2.53841    ,  1.0122     ])
[2.5384108 1.0111863]
368     , -431.696    , array([ 0.936799   ,  0.647507   ])
370     , -50.3691    , array([ 2.54229    ,  0.671239   ])
372     , -50.3535    , array([ 2.54229    ,  0.671911   ])
[2.54229    0.67123905]
374     , -437.119    , array([ 0.936799   ,  0.344979   ])
376     , -87.8096    , array([ 2.54388    ,  0.342688   ])
378     , -87.7001    , array([ 2.54388    ,  0.343031   ])
[2.54388168 0.34268835]
380     , -430.292    , array([ 0.936799   ,  0.691517   ])
382     , -49.4261    , array([ 2.54181    ,  0.7204     ])
384     , -49.4149    , array([ 2.54181    ,  0.721121   ])
[2.54180844 0.72040011]
386     , -426.474    , array([ 0.936799   ,  0.17247    ])
388     , -201.407    , array([ 2.54147    ,  0.16504    ])
390     , -201.231    , array([ 2.54147    ,  0.165205   ])
[2.54147115 0.16503955]
392     , -430.781    , array([ 0.936799   ,  0.676285   ])
394     , -49.7139    , array([ 2.54198    ,  0.70336    ])
396     , -49.7012    , array([ 2.54198    ,  0.704064   ])
[2.54197809 0.70336007]
398     , -427.959    , array([ 0.936799   ,  0.76389    ])
400     , -48.4736    , array([ 2.54094    ,  0.801863   ])
402     , -48.4672    , array([ 2.54094    ,  0.802665   ])
[2.54094447 0.80186293]
404     , -435.48     , array([ 0.936799   ,  0.515667   ])
406     , -56.6464    , array([ 2.54344    ,  0.526013   ])
408     , -56.6079    , array([ 2.54344    ,  0.526539   ])
[2.54343625 0.52601259]
410     , -428.538    , array([ 0.936799   ,  0.7459     ])
412     , -48.6552    , array([ 2.54117    ,  0.78153    ])
414     , -48.6477    , array([ 2.54117    ,  0.782312   ])
[2.54116854 0.78153017]
416     , -411.535    , array([ 0.936799   ,  0.0886913  ])
418     , -306.057    , array([ 2.53775    ,  0.0827139  ])
420     , -305.943    , array([ 2.53775    ,  0.0827966  ])
[2.53774553 0.08271387]
422     , -431.703    , array([ 0.936799   ,  0.647303   ])
424     , -50.3739    , array([ 2.54229    ,  0.671027   ])
426     , -50.3584    , array([ 2.54229    ,  0.671699   ])
[2.54229002 0.67102743]
428     , -434.937    , array([ 0.936799   ,  0.270656   ])
430     , -121.448    , array([ 2.54339    ,  0.265101   ])
432     , -121.298    , array([ 2.54339    ,  0.265366   ])
